service_id,date,exception_type
401,20260105,1
501,20260105,1
6701,20260105,1
4401,20260105,1
401,20260106,1
501,20260106,1
6701,20260106,1
4501,20260106,1
7001,20260106,1
401,20260107,1
501,20260107,1
6701,20260107,1
4401,20260107,1
7001,20260107,1
401,20260108,1
501,20260108,1
6701,20260108,1
4401,20260108,1
7001,20260108,1
401,20260109,1
501,20260109,1
6701,20260109,1
4501,20260109,1
401,20260112,1
501,20260112,1
6701,20260112,1
4401,20260112,1
401,20260113,1
501,20260113,1
6701,20260113,1
4501,20260113,1
7001,20260113,1
401,20260114,1
501,20260114,1
6701,20260114,1
4401,20260114,1
7001,20260114,1
401,20260115,1
501,20260115,1
6701,20260115,1
4401,20260115,1
7001,20260115,1
401,20260116,1
501,20260116,1
6701,20260116,1
4501,20260116,1
401,20260119,1
501,20260119,1
6701,20260119,1
4401,20260119,1
401,20260120,1
501,20260120,1
6701,20260120,1
4501,20260120,1
7001,20260120,1
401,20260121,1
501,20260121,1
6701,20260121,1
4401,20260121,1
7001,20260121,1
401,20260122,1
501,20260122,1
6701,20260122,1
4401,20260122,1
7001,20260122,1
401,20260123,1
501,20260123,1
6701,20260123,1
4501,20260123,1
401,20260126,1
501,20260126,1
6701,20260126,1
4401,20260126,1
401,20260127,1
501,20260127,1
6701,20260127,1
4501,20260127,1
7001,20260127,1
401,20260128,1
501,20260128,1
6701,20260128,1
4401,20260128,1
7001,20260128,1
401,20260129,1
501,20260129,1
6701,20260129,1
4401,20260129,1
7001,20260129,1
401,20260130,1
501,20260130,1
6701,20260130,1
4501,20260130,1
401,20260202,1
501,20260202,1
6701,20260202,1
4401,20260202,1
401,20260203,1
501,20260203,1
6701,20260203,1
4501,20260203,1
7001,20260203,1
401,20260204,1
501,20260204,1
6701,20260204,1
4401,20260204,1
7001,20260204,1
401,20260205,1
501,20260205,1
6701,20260205,1
4401,20260205,1
7001,20260205,1
401,20260206,1
501,20260206,1
6701,20260206,1
4501,20260206,1
